tweet_author,tweet,like_count
Donald Trump,"If Joe Biden were President, you wouldn’t have the Vaccine for another four years, nor would the @US_FDA have ever approved it so quickly. The bureaucracy would have destroyed millions of lives!",332731
Donald Trump,"The @US_FDA and the Democrats didn’t want to have me get a Vaccine WIN, prior to the election, so instead it came out five days later – As I’ve said all along!",378553
Donald Trump,Who will be running for Governor of the Great State of Ohio? Will be hotly contested!,218908
Donald Trump,"Another Vaccine just announced. This time by Moderna, 95% effective. For those great “historians”, please remember that these great discoveries, which will end the China Plague, all took place on my watch!",318583
Donald Trump,The Fake recount going on in Georgia means nothing because they are not allowing signatures to be looked at and verified. Break the unconstitutional Consent Decree!,254635
Donald Trump,"Georgia, get out and VOTE for two great Senators, @KLoeffler and @sendavidperdue. So important to do so!",215340
Donald Trump,See you in D.C. https://t.co/ti4bChnPKz,127896
Donald Trump,"FLOYD COUNTY, GEORGIA! 
https://t.co/mIZ5rmdkvw",182698
Donald Trump,https://t.co/NXcVFfLcgx,138095
Donald Trump,...And a great show by @JesseBWatters tonight. Watched it on way from Ohio to Wisconsin! https://t.co/6OIpWIBpop,46814
Donald Trump,The Vice President has the power to reject fraudulently chosen electors.,429984
Donald Trump,https://t.co/dFGni0viS5,148796
Donald Trump,https://t.co/9oAnUZdJLW,135596
Donald Trump,"This was a rigged election. No Republican Poll Watchers allowed, voting machine “glitches” all over the place (meaning they got caught cheating!), voting after election ended, and so much more! https://t.co/YDh7A7wxLW",141951
Donald Trump,Law Enforcement is watching and involved. So dishonest! https://t.co/DNtRroA92X,57711
Donald Trump,https://t.co/kSjq4ye9EO,216709
Donald Trump,"THANK YOU WISCONSIN!
https://t.co/nOcUhuuNoF",65024
Donald Trump,Nolte: Bret Baier Deletes Tweet that Exposed Backlash Against Fox News https://t.co/k98LQLPwsK via @BreitbartNews,134308
Donald Trump,https://t.co/uF8BVW4WBV,42672
Donald Trump,https://t.co/Zwgbeynhy3,40380
Donald Trump,"Reports are coming out of the 12th Congressional District of Georgia that Dominion Machines are not working in certain Republican Strongholds for over an hour. Ballots are being left in lock boxes, hopefully they count them. Thank you Congressman @RickAllen!",198868
